[29-Nov-2024 03:58:23 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 04:04:06 UTC] PHP Deprecated:  Function print_emoji_styles is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_emoji_styles instead. in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\functions.php on line 6114
[29-Nov-2024 04:04:34 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 04:07:32 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 06:55:56 UTC] PHP Deprecated:  Constant FILTER_SANITIZE_STRING is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-content\plugins\astra-sites\inc\classes\class-astra-sites.php on line 2069
[29-Nov-2024 07:03:55 UTC] PHP Deprecated:  ltrim(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 4467
[29-Nov-2024 07:03:55 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:03:55 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:03:55 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:03:55 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 07:05:39 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:05:39 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:05:39 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:05:39 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 07:05:47 UTC] PHP Deprecated:  ltrim(): Passing null to parameter #1 ($string) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 4467
[29-Nov-2024 07:05:47 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:05:47 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:05:47 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:05:47 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
[29-Nov-2024 07:06:48 UTC] PHP Deprecated:  str_contains(): Passing null to parameter #1 ($haystack) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\shortcodes.php on line 246
[29-Nov-2024 07:06:48 UTC] PHP Deprecated:  preg_split(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\formatting.php on line 616
[29-Nov-2024 07:06:48 UTC] PHP Deprecated:  preg_match(): Passing null to parameter #2 ($subject) of type string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 446
[29-Nov-2024 07:06:48 UTC] PHP Deprecated:  str_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in D:\xampp\htdocs\wordpressSorakreatif\wordpress\wp-includes\class-wp-embed.php on line 454
